Product Type,Product Name,Price,Material,Link,Informations,Pays concernés,Fabrication,Tissage,Pays d’origine du matériau,Pays de fabrication,Impression,Teinture
Pantalons,Pantalon jogger taille haute,19.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.0975845069.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon large avec taille élastique,19.99,"[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1214177002.html,['Pays de fabrication\nBirmanie'],['Birmanie'],[],[],[],['Birmanie'],[],[]
Pantalons,Pantalon cigarette,19.99,"[' Coton', ' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0751471001.html,['Pays de fabrication\nBangladesh\nBirmanie\nChine'],"['Bangladesh', 'Birmanie', 'Chine']",[],[],[],"['Bangladesh', 'Birmanie', 'Chine']",[],[]
Pantalons,Pantalon droit en twill,84.99,[' Coton'],https://www2.hm.com/fr_fr/productpage.1195537004.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon effilé,29.99,"[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Viscose', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1177412010.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon de tailleur,29.99,"[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Viscose', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1207181003.html,"['Teinture\nChine', 'Fabrication\nBangladesh']","['Chine', 'Bangladesh']",['Bangladesh'],[],[],[],[],['Chine']
Pantalons,Pantalon de tailleur en viscose,129.0,"[' Coton', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1214825002.html,"['Teinture\nItaly', 'Fabrication\nRoumanie']","['Italy', 'Roumanie']",['Roumanie'],[],[],[],[],['Italy']
Pantalons,Pantalon de survêtement déperlant,39.99,"[' Polyamide', ' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1217280001.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon cigarette,19.99,"[' Polyester', ' Polyester recyclé', ' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0751471096.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nBangladesh\nBirmanie']","['Chine', 'Bangladesh', 'Birmanie']",[],[],['Chine'],"['Bangladesh', 'Birmanie']",[],[]
Pantalons,Pantalon en lin mélangé avec taille élastique,19.99,"[' Lin', ' Polyester', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1138003011.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
