Product Type,Product Name,Price,Material,Link,Informations
Jeans,Wide Regular Jeans,"29,99 €","[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1216000003.html,"['Teinture\nPakistan', 'Tissage\nPakistan', 'Fabrication\nPakistan']"
Jeans,Bootcut High Jeans,"35,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1198343012.html,['Pays de fabrication\nBangladesh']
Jeans,Flared Low Jeans,"39,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1218344001.html,['Pays de fabrication\nChine']
Jeans,Curvy Fit Wide Ultra High Jeans,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1084436013.html,['Pays de fabrication\nBangladesh']
Jeans,Slim Straight High Jeans,"35,99 €","[' Coton', ' Coton recyclé', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1199187009.html,['Pays de fabrication\nBangladesh']
Jeans,Slim High Jeans,"29,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1206355002.html,['Pays de fabrication\nBangladesh']
Jeans,Straight Regular Jeans,"39,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1152460003.html,['Pays de fabrication\nBangladesh']
Jeans,Baggy Wide Low Ankle Jeans,"39,99 €","[' Coton', ' Coton recyclé', ' Polyester recyclé', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1199189003.html,"['Teinture\nPakistan', 'Tissage\nPakistan', 'Fabrication\nPakistan']"
Jeans,Baggy Low Jeans,"29,99 €","[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1214235005.html,['Pays de fabrication\nBangladesh']
Jeans,Wide High Jeans,"35,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1216282003.html,['Pays de fabrication\nTurquie']
Jeans,Coated Straight Regular Jeans,"49,99 €","[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1227049001.html,['Pays de fabrication\nChine']
Jeans,Wide Regular Jeans,"39,99 €","[' Coton', ' Coton recyclé', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1240845001.html,"['Teinture\nPakistan', 'Tissage\nPakistan', 'Fabrication\nPakistan']"
Jeans,Flared Ultra High Jeans,"35,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne', ' Élastomultiester']",https://www2.hm.com/fr_fr/productpage.1238764001.html,['Fabrication\nPakistan']
Jeans,Wide High Ankle Jeans,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1214568005.html,['Pays de fabrication\nBangladesh']
Jeans,Slim High Jeans,"29,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1210619002.html,"['Teinture\nChine', 'Fabrication\nChine']"
Jeans,Curvy Fit Wide High Cropped Jeans,"25,99 €","[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1213942001.html,['Pays de fabrication\nBangladesh']
Jeans,Baggy High Jeans,"29,99 €","[' Coton', ' Coton recyclé', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1208532005.html,['Pays de fabrication\nInde\nPakistan\nTurquie']
