Date,Open,High,Low,Close,Adj Close,Volume
2000-02-01,137.500000,148.500000,130.250000,144.750000,63.699455,103150992
2000-03-01,146.000000,171.500000,105.250000,120.000000,52.807831,259079136
2000-04-01,125.000000,131.000000,107.500000,121.250000,53.357914,85210488
2000-05-01,121.250000,123.250000,107.500000,113.500000,50.234772,65665982
2000-06-01,113.500000,122.000000,86.250000,92.000000,40.718933,120965920
2000-07-01,92.250000,97.250000,84.750000,93.250000,41.272175,53678082
2000-08-01,93.250000,93.250000,80.750000,82.750000,36.624905,77006842
2000-09-01,82.750000,100.500000,80.000000,96.500000,42.710621,184993888
2000-10-01,96.500000,98.000000,83.250000,92.250000,40.829571,80758258
2000-11-01,94.000000,107.250000,84.000000,84.500000,37.399448,116967168
2000-12-01,85.500000,86.000000,68.250000,73.000000,32.309589,137282372
2001-01-01,73.000000,104.500000,72.000000,101.750000,45.034264,202061556
2001-02-01,101.500000,105.250000,91.500000,95.000000,42.046715,130525236
2001-03-01,95.000000,98.750000,71.750000,73.000000,32.309589,192916776
2001-04-01,72.500000,88.250000,68.750000,86.500000,38.284645,107542218
2001-05-01,86.500000,92.000000,83.000000,86.000000,38.379276,117043278
2001-06-01,87.000000,95.250000,77.000000,93.500000,41.726307,133892652
2001-07-01,93.000000,100.500000,90.750000,98.750000,44.069237,73050842
2001-08-01,99.000000,102.750000,90.250000,99.000000,44.180790,84649180
2001-09-01,99.250000,101.000000,76.000000,86.250000,38.490841,122672744
2001-10-01,91.500000,102.250000,91.000000,93.250000,41.614738,108716306
2001-11-01,95.750000,110.500000,90.500000,106.500000,47.527817,131942164
2001-12-01,107.000000,118.500000,100.250000,108.500000,48.420357,95962400
2002-01-01,108.500000,112.500000,91.750000,96.000000,42.841980,178394468
2002-02-01,95.750000,96.750000,86.250000,90.750000,40.499065,60935964
2002-03-01,90.500000,109.250000,90.250000,105.500000,47.081547,0
2002-04-01,105.500000,107.000000,98.250000,102.000000,45.519600,98960162
2002-05-01,102.000000,107.250000,90.500000,90.500000,40.734375,104932142
2002-06-01,90.750000,95.750000,81.000000,92.000000,41.409534,111234512
2002-07-01,92.000000,95.500000,74.000000,87.250000,39.271542,84051354
2002-08-01,86.500000,90.500000,78.250000,86.250000,38.821438,87304444
2002-09-01,85.750000,91.000000,19.250000,80.500000,36.233341,147795148
2002-10-01,80.000000,89.500000,73.500000,89.000000,40.059227,125151396
2002-11-01,88.500000,99.250000,88.250000,95.500000,42.984901,130824196
2002-12-01,96.750000,98.250000,82.250000,84.000000,37.808701,74970114
2003-01-01,84.000000,90.000000,77.750000,89.500000,40.284275,147009592
2003-02-01,89.500000,93.000000,85.000000,89.750000,40.396797,96416366
2003-03-01,90.500000,96.500000,87.250000,89.000000,40.059227,142341052
2003-04-01,90.250000,93.000000,84.750000,91.000000,40.959427,116242038
2003-05-01,91.000000,92.000000,84.250000,89.500000,41.630817,103527436
2003-06-01,89.750000,93.000000,84.250000,92.000000,42.793701,122766406
2003-07-01,91.500000,95.000000,87.500000,87.500000,40.700523,92239682
2003-08-01,87.750000,89.500000,85.750000,88.000000,40.933105,84857960
2003-09-01,88.250000,92.250000,84.250000,87.750000,40.816811,140100634
2003-10-01,87.500000,89.250000,80.750000,82.750000,38.491066,131656012
2003-11-01,83.000000,90.500000,82.000000,88.250000,41.049389,139095652
2003-12-01,88.250000,89.250000,81.250000,85.500000,39.770233,96457698
2004-01-01,85.500000,92.000000,81.750000,90.500000,42.095974,132892096
2004-02-01,90.750000,102.750000,89.250000,99.500000,46.282314,135336018
2004-03-01,99.500000,102.250000,95.000000,101.500000,47.212616,120005710
2004-04-01,101.750000,104.750000,93.250000,93.500000,43.491417,100574154
2004-05-01,93.000000,94.250000,86.500000,92.250000,44.286777,89078356
2004-06-01,92.250000,97.750000,89.000000,97.250000,46.687145,75303898
2004-07-01,97.250000,99.250000,94.000000,98.750000,47.407249,101588516
2004-08-01,98.500000,100.750000,93.750000,97.750000,46.927170,87345314
2004-09-01,98.000000,103.750000,97.250000,100.250000,48.127361,113054818
2004-10-01,101.000000,108.000000,100.250000,103.250000,49.567577,103002170
2004-11-01,103.000000,108.500000,102.250000,108.000000,51.847931,112681534
2004-12-01,108.250000,116.000000,106.250000,115.750000,55.568504,98292792
2005-01-01,115.500000,117.250000,111.750000,115.250000,55.328457,107352334
2005-02-01,115.250000,121.500000,113.750000,120.500000,57.848850,75832578
2005-03-01,120.500000,122.750000,115.500000,121.500000,58.328918,82101428
2005-04-01,122.750000,132.250000,121.500000,122.750000,58.929012,168489476
2005-05-01,123.000000,132.750000,123.000000,131.500000,65.102455,89797590
2005-06-01,132.000000,138.500000,129.250000,137.500000,68.072914,102122170
2005-07-01,137.500000,142.750000,131.250000,138.500000,68.567986,85245884
2005-08-01,138.500000,138.750000,126.250000,131.500000,65.102455,95438036
2005-09-01,132.000000,139.250000,128.750000,138.250000,68.444214,117305822
2005-10-01,138.500000,140.750000,125.750000,129.250000,63.988533,119253922
2005-11-01,129.500000,131.250000,125.000000,126.500000,62.627071,150622782
2005-12-01,126.750000,135.000000,124.750000,135.000000,66.835236,123517610
2006-01-01,134.500000,141.500000,130.000000,139.750000,69.186829,181164392
2006-02-01,139.750000,146.500000,136.750000,144.250000,71.414658,107721360
2006-03-01,143.750000,153.000000,141.500000,142.000000,70.300743,157673138
2006-04-01,142.000000,146.000000,137.750000,139.750000,69.186829,113195620
2006-05-01,139.750000,146.500000,124.250000,130.750000,64.731148,198546564
2006-06-01,130.750000,141.750000,124.500000,139.500000,71.414680,147477034
2006-07-01,140.250000,141.250000,128.750000,133.750000,68.471077,84834208
2006-08-01,133.750000,141.750000,129.750000,140.750000,72.054581,83715788
2006-09-01,140.250000,156.500000,139.250000,153.250000,78.453766,130279380
2006-10-01,154.250000,160.750000,151.250000,155.750000,79.733582,107350936
2006-11-01,155.250000,165.250000,153.250000,159.500000,81.653343,108106618
2006-12-01,160.250000,173.500000,157.500000,173.000000,88.564438,92984372
2007-01-01,173.000000,189.000000,165.750000,188.000000,96.243431,118214020
2007-02-01,188.500000,192.250000,181.250000,182.750000,93.555763,100069048
2007-03-01,183.000000,203.500000,177.250000,201.000000,102.898544,150231410
2007-04-01,201.250000,225.000000,200.000000,223.250000,114.289078,94722044
2007-05-01,223.250000,223.750000,205.500000,219.000000,112.113342,142333034
2007-06-01,220.000000,221.000000,197.500000,203.250000,106.807503,142707984
2007-07-01,203.500000,210.500000,188.500000,195.750000,102.866287,111429590
2007-08-01,193.250000,201.500000,185.500000,194.250000,102.078003,144864788
2007-09-01,194.250000,204.750000,182.250000,204.250000,107.333000,134399614
2007-10-01,203.000000,216.750000,199.500000,211.500000,111.142868,112058996
2007-11-01,211.750000,212.500000,190.000000,198.250000,104.180016,124779742
2007-12-01,199.000000,199.500000,187.500000,196.750000,103.391769,87348826
2008-01-01,196.750000,197.000000,149.250000,171.000000,89.860191,194944154
2008-02-01,175.000000,182.250000,156.500000,174.500000,91.699432,128458270
2008-03-01,169.500000,183.750000,158.750000,182.500000,95.903412,124029272
2008-04-01,181.750000,189.000000,175.000000,178.000000,93.538673,105558358
2008-05-01,178.000000,183.000000,159.500000,165.750000,87.101334,89996814
2008-06-01,163.000000,173.500000,157.500000,163.250000,89.248749,134290568
2008-07-01,163.000000,163.750000,139.500000,162.500000,88.838722,144461300
2008-08-01,160.750000,163.000000,151.750000,160.000000,87.471985,109209024
2008-09-01,158.250000,169.500000,136.500000,139.000000,75.991280,151878016
2008-10-01,139.750000,147.500000,119.750000,138.000000,75.444565,201754370
2008-11-01,141.250000,150.250000,125.000000,149.000000,81.458275,118313896
2008-12-01,147.500000,160.000000,138.000000,152.750000,83.508392,107644010
2009-01-01,152.750000,166.000000,151.000000,162.000000,88.565384,95319698
2009-02-01,160.250000,174.750000,158.750000,168.750000,92.255608,128733826
2009-03-01,165.500000,167.500000,149.000000,154.500000,84.465141,150299636
2009-04-01,153.000000,181.750000,151.750000,175.990005,96.213737,122684012
2009-05-01,181.250000,191.000000,173.250000,180.250000,98.542648,115073520
2009-06-01,181.500000,196.250000,177.750000,192.500000,109.789833,66996728
2009-07-01,192.750000,216.000000,188.000000,214.500000,122.337242,68637148
2009-08-01,213.750000,214.500000,193.000000,197.250000,112.498924,68092268
2009-09-01,198.000000,207.000000,192.250000,195.750000,111.643433,85708160
2009-10-01,190.500000,207.300003,190.250000,204.000000,116.348732,63317902
2009-11-01,202.399994,218.649994,200.550003,206.149994,117.574913,80979356
2009-12-01,206.750000,207.250000,194.500000,198.699997,113.325912,81538546
2010-01-01,198.699997,220.000000,195.000000,218.750000,124.761169,102269536
2010-02-01,219.050003,227.449997,212.649994,216.250000,123.335320,74449844
2010-03-01,217.399994,241.800003,217.100006,234.550003,133.772491,78119162
2010-04-01,236.500000,251.500000,232.199997,232.199997,132.432205,83815392
2010-05-01,231.750000,242.300003,208.500000,222.350006,131.122284,89480022
2010-06-01,222.100006,234.000000,210.600006,215.600006,127.141769,86130934
2010-07-01,213.899994,232.399994,208.500000,227.399994,134.100357,55310038
2010-08-01,228.800003,244.300003,226.699997,241.800003,142.592178,68580904
2010-09-01,243.000000,260.899994,239.399994,244.100006,143.948517,83461742
2010-10-01,244.000000,245.500000,232.500000,235.399994,138.818024,62024339
2010-11-01,236.300003,238.600006,223.000000,237.399994,139.997467,75312644
2010-12-01,238.100006,244.500000,224.000000,224.000000,132.095337,69223830
2011-01-01,225.100006,230.899994,208.100006,211.600006,124.782913,110504324
2011-02-01,212.000000,214.500000,202.199997,207.000000,122.070221,96527767
2011-03-01,207.500000,219.699997,199.000000,209.600006,123.603470,106815444
2011-04-01,209.199997,223.100006,208.100006,213.500000,125.903351,71351019
2011-05-01,215.300003,239.600006,214.199997,229.300003,141.234818,101200091
2011-06-01,229.100006,230.800003,206.399994,218.100006,134.336304,99560429
2011-07-01,218.300003,224.899994,212.899994,215.100006,132.488495,63483836
2011-08-01,217.000000,218.899994,181.899994,197.600006,121.709564,156842698
