Product Type,Product Name,Price,Material,Link,Informations
Hauts,Débardeur côtelé,"15,99 €","[' Polyester', ' Viscose', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1228390001.html,['Pays de fabrication\nChine']
Hauts,T-shirt oversize imprimé,"15,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1198284034.html,['Pays de fabrication\nBangladesh']
Hauts,Top à bretelles fines avec cordons de serrage,"17,99 €","[' Lin', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1202831010.html,[]
Hauts,Top volanté en maille côtelée,"29,99 €","[' Polyamide', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1214761001.html,['Pays de fabrication\nChine']
Hauts,Top volanté,"15,99 €","[' Viscose', ' Viscose LENZING™ ECOVERO™']",https://www2.hm.com/fr_fr/productpage.1232107001.html,"['Teinture\nChine', 'Fabrication\nIndonésie']"
Hauts,Top bustier en crêpe,"19,99 €","[' Polyester', ' Polyester recyclé', ' Viscose', ' Viscose LENZING™ ECOVERO™']",https://www2.hm.com/fr_fr/productpage.1153290001.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nChine']"
Hauts,Top de plage façon crochet,"19,99 €","[' Polyamide', ' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1170875001.html,['Pays de fabrication\nChine']
Hauts,T-shirt en lin mélangé,"19,99 €","[' Lin', ' Polyester', ' Polyester recyclé', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1224472001.html,"['Teinture\nChine', 'Fabrication\nBangladesh']"
Hauts,Débardeur de sport DryMove™,"15,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1245844001.html,[]
Hauts,T-shirt ajusté,"9,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1162812024.html,['Pays de fabrication\nBirmanie']
Hauts,Lot de 2 T-shirts courts,"12,99 €","[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1141812001.html,"['Teinture\nInde', 'Fabrication\nBangladesh\nInde\nTurquie']"
Hauts,Débardeur côtelé,"14,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1226202002.html,['Pays de fabrication\nChine']
Hauts,Top en maille côtelée,"25,99 €","[' Polyamide', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1218428004.html,"['Impression\nChine', 'Fabrication\nBirmanie']"
Hauts,Top épaules nues avec détail torsadé,"27,99 €","[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1242707002.html,['Pays de fabrication\nTurquie']
Hauts,T-shirt à col tunisien,"17,99 €","[' Coton', ' Modal', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1203002003.html,"['Pays d’origine du matériau\nBangladesh', 'Pays de fabrication\nBangladesh']"
Hauts,Top en satin avec dentelle,"39,99 €","[' Polyester', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1166236002.html,['Pays de fabrication\nChine']
Hauts,Crop top de sport DryMove™ Seamless,"19,99 €","[' Polyamide recyclé', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1167610003.html,['Pays de fabrication\nChine']
Hauts,Body à encolure en V,"15,99 €","[' Viscose', ' Viscose LENZING™ ECOVERO™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1089775033.html,[]
Hauts,Top smocké,"15,99 €","[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1217383001.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nChine']"
Hauts,Débardeur en maille côtelée avec dos croisé,"15,99 €","[' Polyamide', ' Polyester', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1203161004.html,[]
Hauts,Top avec col,"19,99 €","[' Polyester', ' Polyester recyclé', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1164061001.html,['Pays de fabrication\nCambodge']
Hauts,Top péplum à effet boule avec bretelles fines,"15,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1224384002.html,['Pays de fabrication\nTurquie']
Hauts,T-shirt ajusté,"7,99 €","[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1210630010.html,"['Teinture\nInde', 'Fabrication\nInde']"
Hauts,T-shirt oversize avec motif,"15,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1198431027.html,['Pays de fabrication\nBangladesh\nTurquie']
Hauts,T-shirt,"9,99 €","[' Coton', ' Coton recyclé']",https://www2.hm.com/fr_fr/productpage.1212733003.html,['Pays de fabrication\nBangladesh']
Hauts,Body string en jersey,"19,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1224067003.html,"['Teinture\nTurquie', 'Fabrication\nTurquie']"
Hauts,Débardeur côtelé,"15,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1221250001.html,['Pays de fabrication\nTurquie']
Hauts,Top froncé en jersey,"9,99 €","[' Polyamide', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1204904003.html,['Pays de fabrication\nCambodge\nChine\nTurquie']
Hauts,Body string à encolure en V,"19,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1224063001.html,['Pays de fabrication\nCambodge']
Hauts,Crop top de sport DryMove™ Seamless,"19,99 €","[' Polyamide', ' Polyamide recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1214668003.html,['Pays de fabrication\nChine']
Hauts,T-shirt oversize imprimé,"15,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1163120012.html,['Pays de fabrication\nInde']
Hauts,Débardeur orné de rubans,"12,99 €","[' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1198823007.html,['Pays de fabrication\nChine\nTurquie']
Hauts,T-shirt imprimé,"15,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1162938009.html,['Pays de fabrication\nChine']
Hauts,Top bustier froncé,"14,99 €","[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1147686008.html,['Pays de fabrication\nTurquie']
Hauts,Veste de survêtement,"29,99 €","[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1215786001.html,['Pays de fabrication\nChine']
Hauts,Blouse courte à encolure en V,"15,99 €","[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1216011001.html,['Pays de fabrication\nIndonésie']
Hauts,Débardeur côtelé,"9,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0882925061.html,['Pays de fabrication\nBangladesh']
Hauts,Polo de rugby brodé,"35,99 €","[' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1222635001.html,['Pays de fabrication\nChine']
Hauts,T-shirt en jersey de lin avec encolure en V,"19,99 €",[' Lin'],https://www2.hm.com/fr_fr/productpage.1055982001.html,['Pays de fabrication\nBangladesh']
Hauts,Top bustier en mesh,"19,99 €","[' Coton', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1204905004.html,['Pays de fabrication\nCambodge']
Hauts,Débardeur court,"4,99 €","[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1049251013.html,"['Pays d’origine du matériau\nBangladesh', 'Pays de fabrication\nBangladesh']"
Hauts,Top à manches longues,"7,99 €","[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1158565001.html,"['Teinture\nBangladesh\nTurquie', 'Fabrication\nBangladesh\nInde\nBirmanie\nTurquie']"
Hauts,Top en jersey à encolure carrée,"9,99 €","[' Coton', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1209451011.html,['Pays de fabrication\nChine']
Hauts,Top smocké,"14,99 €","[' Polyamide', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1153284001.html,['Pays de fabrication\nChine']
Hauts,Ensemble 2 pièces en maille côtelée,"29,99 €","[' Polyamide', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1203131002.html,['Pays de fabrication\nChine']
Hauts,Top façon corset en maille fine,"14,99 €","[' Polyamide', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1135085001.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nBirmanie']"
Hauts,Crop top côtelé,"7,99 €","[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.0980930043.html,"['Teinture\nInde', 'Fabrication\nInde']"
Hauts,Top bandeau,"15,99 €",[' Polyester'],https://www2.hm.com/fr_fr/productpage.1249115002.html,['Pays de fabrication\nTurquie']
Hauts,Top en crêpe de soie,"59,99 €",[' Soie'],https://www2.hm.com/fr_fr/productpage.0773757009.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nChine']"
Hauts,Débardeur de sport court DryMove™ Seamless,"9,99 €","[' Polyamide', ' Polyamide recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1222123001.html,['Pays de fabrication\nVietnam']
Hauts,Top de sport DryMove™ Seamless avec col zippé,"29,99 €","[' Polyamide', ' Polyamide recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1178257006.html,['Pays de fabrication\nChine']
Hauts,Débardeur court,"7,99 €","[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1212776005.html,['Pays de fabrication\nBangladesh']
